Bureau of Justice Statistics,,,,,,
Filename: cv22at14.csv,,,,,,
"Appendix table 14. Standard errors for table 13: Number of violent incidents, by race or Hispanic origin of victims and offenders, 2022",,,,,,
"Report title: Criminal Victimization, 2022   NCJ 307089",,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2022",,,,,,
"Authors: Alexandra Thompson and Susannah N. Tapp, PhD, BJS Statisticians",,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,
Date of version: 9/14/2023,,,,,,
,,,,,,
"Appendix table 14. Standard errors for table 13: Number of violent incidents, by race or Hispanic origin of victims and offenders, 2022",,,,,,
,,Offender race/Hispanic origin,,,,
Victim race/Hispanic origin,Total violent incidents,White,Black,Hispanic,Other,Unknown
White,"214,229"," 159,555 "," 55,405 "," 50,820 "," 50,721 "," 73,852 "
Black,"69,184"," 22,208 "," 53,384 "," 14,818 "," 10,715 "," 21,416 "
Hispanic,"98,555"," 38,555 "," 28,181 "," 56,814 "," 19,810 "," 61,118 "
Other,"84,472"," 48,436 "," 33,828 "," 30,558 "," 22,222 "," 21,428 "
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2022.",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
